invalid,valid,operations
374692674,+33374692674,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+61541751409,+61541751409,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+19 263824264,+19263824264,keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep
81989413672,+8681989413672,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
17315593519,+8617315593519,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+4 43768741 479,+443768741479,keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|delete|keep|keep|keep
6870772072,+16870772072,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+14g6g86b710,+14969868710,keep|keep|keep|replace_9|keep|replace_9|keep|keep|replace_8|keep|keep|keep
+86752024a0496,+8675202420496,keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_2|keep|keep|keep|keep
+862603346636a,+8626033466362,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_2
84539686,+6584539686,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
8838265784,+18838265784,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
975783009,+61975783009,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+b661a04070011,+8661204070011,keep|replace_8|keep|keep|keep|replace_2|keep|keep|keep|keep|keep|keep|keep|keep
+61149563670,+61149563670,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
5508523329,+445508523329,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+332363807 61,+33236380761,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|delete|keep|keep
1692698301,+11692698301,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
44688222,+6544688222,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
+657 07307 35,+6570730735,keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|delete|keep|keep
811152830,+61811152830,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+14377620025,+14377620025,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
2571400423,+912571400423,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
0452847042,+10452847042,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+864602  1895927,+8646021895927,keep|keep|keep|keep|keep|keep|keep|delete|delete|keep|keep|keep|keep|keep|keep|keep
+44g190708569,+449190708569,keep|keep|keep|replace_9|keep|keep|keep|keep|keep|keep|keep|keep|keep
7968330726,+17968330726,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
6528959950,+446528959950,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
5540744635,+445540744635,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+652 6731920,+6526731920,keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep
96949468 40 9,+8696949468409,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
87406456,+6587406456,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
+b69a45b403499,+8692458403499,keep|replace_8|keep|keep|replace_2|keep|keep|replace_8|keep|keep|keep|keep|keep|keep
995431399,+33995431399,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
0743761037,+440743761037,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
002420079,+61002420079,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
2126097999,+912126097999,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+61863941738,+61863941738,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+86948 72023106,+8694872023106,keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep
06682800385,+8606682800385,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
3828632944,+13828632944,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+8683434686499,+8683434686499,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
6l899 05 67,+61618990567,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+441445270530,+441445270530,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
52569926219,+8652569926219,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+867860280b70s,+8678602808705,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_8|keep|keep|replace_5
+9 14544322381,+914544322381,keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+9155 26897 574,+915526897574,keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|delete|keep|keep|keep
1483508043,+441483508043,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+915124819714,+915124819714,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
1049850018,+11049850018,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+33046504452,+33046504452,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+44 920480230 0,+449204802300,keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep|delete|keep
769915521,+33769915521,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+6s48064412,+6548064412,keep|keep|replace_5|keep|keep|keep|keep|keep|keep|keep|keep
l121385 07 6,+441121385076,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+9l3970903741,+913970903741,keep|keep|replace_1|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+912 866573737,+912866573737,keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep
+6119a244195,+61192244195,keep|keep|keep|keep|keep|replace_2|keep|keep|keep|keep|keep|keep
9109898857,+19109898857,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+4430702375  96,+443070237596,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|delete|delete|keep|keep
+616261952a8,+61626195228,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_2|keep
806598038,+33806598038,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
2813s1 77 02,+442813517702,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+4417548o4545,+441754804545,keep|keep|keep|keep|keep|keep|keep|keep|replace_0|keep|keep|keep|keep
862274375,+33862274375,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
35507528179,+8635507528179,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
4595323030,+914595323030,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+445432051794,+445432051794,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+g1713o480875,+917130480875,keep|replace_9|keep|keep|keep|keep|replace_0|keep|keep|keep|keep|keep|keep
+6547812a07,+6547812207,keep|keep|keep|keep|keep|keep|keep|keep|replace_2|keep|keep
+6184244429 3,+61842444293,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|delete|keep
+1 1776725060,+11776725060,keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+3361477a625,+33614772625,keep|keep|keep|keep|keep|keep|keep|keep|replace_2|keep|keep|keep
3036358046,+443036358046,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+653s194905,+6535194905,keep|keep|keep|keep|replace_5|keep|keep|keep|keep|keep|keep
7377431223,+917377431223,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+44 439755 7699,+444397557699,keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep
+173 3474 7909,+17334747909,keep|keep|keep|keep|delete|keep|keep|keep|keep|delete|keep|keep|keep|keep
5604493568,+15604493568,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
562748489,+33562748489,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
4982389516,+14982389516,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+61102578635,+61102578635,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
5914060380,+915914060380,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
57060627,+6557060627,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
+6s07210211,+6507210211,keep|keep|replace_5|keep|keep|keep|keep|keep|keep|keep|keep
52e0 76 62,+6552307662,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
+86066l6708627,+8606616708627,keep|keep|keep|keep|keep|keep|replace_1|keep|keep|keep|keep|keep|keep|keep
4220712773,+14220712773,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
5461696064,+915461696064,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+912e1l04391a,+912311043912,keep|keep|keep|keep|replace_3|keep|replace_1|keep|keep|keep|keep|keep|replace_2
581 42 39s70,+915814239570,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
2087186855,+442087186855,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+449164514938,+449164514938,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
5964954857,+15964954857,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
84690949150,+8684690949150,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+9132947e0672,+913294730672,keep|keep|keep|keep|keep|keep|keep|keep|replace_3|keep|keep|keep|keep
54709332,+6554709332,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
+86018914887 00,+8601891488700,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|delete|keep|keep
+4486221425l2,+448622142512,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_1|keep
+448607274064,+448607274064,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+4489b9g60694,+448989960694,keep|keep|keep|keep|keep|replace_8|keep|replace_9|keep|keep|keep|keep|keep
827161362,+33827161362,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
960721 24 7,+61960721247,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+3e70358l0g1,+33703581091,keep|keep|replace_3|keep|keep|keep|keep|keep|replace_1|keep|replace_9|keep
+9112630 48789,+911263048789,keep|keep|keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep
+b6400271e1480,+8640027131480,keep|replace_8|keep|keep|keep|keep|keep|keep|keep|replace_3|keep|keep|keep|keep
+1739 4456771,+17394456771,keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep
73542918 98 0,+8673542918980,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
4560823909,+914560823909,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+4410722578b3,+441072257883,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_8|keep
828198784,+61828198784,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
57491544017,+8657491544017,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
2771705727,+442771705727,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+6188493 5649,+61884935649,keep|keep|keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep
9461316108,+449461316108,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+33172s26981,+33172526981,keep|keep|keep|keep|keep|keep|replace_5|keep|keep|keep|keep|keep
3e13 05 0950s,+8633130509505,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+6se2360529,+6532360529,keep|keep|replace_5|replace_3|keep|keep|keep|keep|keep|keep|keep
3028663135,+913028663135,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
7443528 42 0,+17443528420,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
087178047,+61087178047,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
62479238603,+8662479238603,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+15 855441770,+15855441770,keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep
15805875,+6515805875,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
0855309710,+10855309710,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
0803 95 6156,+10803956156,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
6072585868,+446072585868,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
77136335959,+8677136335959,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+338g1568a92,+33891568292,keep|keep|keep|keep|replace_9|keep|keep|keep|keep|replace_2|keep|keep
+91646215125 4,+916462151254,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|delete|keep
+6192 2 506049,+61922506049,keep|keep|keep|keep|keep|delete|keep|delete|keep|keep|keep|keep|keep|keep
37102839413,+8637102839413,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
135692295,+33135692295,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
1740297369,+911740297369,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
445857683,+33445857683,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+3350 8812 440,+33508812440,keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|delete|keep|keep|keep
+9 16925998043,+916925998043,keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+1seb4440077,+15384440077,keep|keep|replace_5|replace_3|replace_8|keep|keep|keep|keep|keep|keep|keep
4390625444,+14390625444,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+1a93417lb18,+12934171818,keep|keep|replace_2|keep|keep|keep|keep|keep|replace_1|replace_8|keep|keep
+86536e1967140,+8653631967140,keep|keep|keep|keep|keep|keep|replace_3|keep|keep|keep|keep|keep|keep|keep
s10669 9l 10,+915106699110,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
783002 44 8,+61783002448,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
80888483,+6580888483,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
5352511862,+915352511862,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
56840964,+6556840964,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
+86800 02592791,+8680002592791,keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep
+44715498414e,+447154984143,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_3
+6l466483234,+61466483234,keep|keep|replace_1|keep|keep|keep|keep|keep|keep|keep|keep|keep
279 31 1o3986,+8627931103986,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
9733356 50 7,+449733356507,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+6 58989798 9,+6589897989,keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|delete|keep
431723698,+61431723698,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
390614021,+61390614021,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+334 054 26988,+33405426988,keep|keep|keep|keep|delete|keep|keep|keep|delete|keep|keep|keep|keep|keep
1295680672,+911295680672,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+44596374032 8,+445963740328,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|delete|keep
+65b630l447,+6586301447,keep|keep|keep|replace_8|keep|keep|keep|replace_1|keep|keep|keep
+869a5516l5021,+8692551615021,keep|keep|keep|keep|replace_2|keep|keep|keep|keep|replace_1|keep|keep|keep|keep
93486986,+6593486986,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
73262754377,+8673262754377,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
4355176045,+14355176045,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
3061184188,+443061184188,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+612e6g31652,+61236931652,keep|keep|keep|keep|replace_3|keep|replace_9|keep|keep|keep|keep|keep
0951279526,+440951279526,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
84211213,+6584211213,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
8185030532,+448185030532,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
5841741383,+15841741383,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
5162242198,+445162242198,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+651 786 2824,+6517862824,keep|keep|keep|keep|delete|keep|keep|keep|delete|keep|keep|keep|keep
