PhoneNumber,Valid
+8113757450,1
+,0
+65437691,1
+619200417,1
1025168173108,0
+9181701654,1
+65461 711,1
+call123456,0
+12345678901234567890,0
+12345678901234567890,0
phone,0
479810815,0
+9185551645,1
+8232700371,1
94589598,0
393518122,0
+8200916863,1
,0
555.123.4567,0
+1234567890abc,0
+ 1234567890,0
+336677381,1
+86483236005,1
+346303055,1
4478020040848,0
+4404376468,1
+49059-061843,1
+313916116,1
+1234invalid,0
+8264388212,1
335399029394500,0
+12345678901234567890,0
+1234invalid,0
+49,0
9113425,0
+1234567xyz,0
324847827688558,0
+69,0
+21209,0
+31255-9053,1
(555) 123-4567,0
phone,0
+49732 706578,1
+4491769962,1
63931157651600,0
+341963955,1
392379517315208,0
+ 1234567890,0
+8116819623,1
+0,0
43174327301777,0
+39568-74653,1
+5,0
+766132,0
+1234567890x123,0
+86789364308,1
+3944329103,1
+call123456,0
+9176406479,1
+4468119038,1
+49544413875,1
8313552974,0
+1234567890 ext 123,0
+9119059880,1
+8177719349,1
+616452193,1
043255381,0
+2462,0
+1618661719,1
+612240788,1
2092719013262,0
+1 234 567 8901 2345,0
+336378,0
+1234567890abc,0
+614931032,1
+65322990,1
phone,0
+2720,0
+1 234 567 8901 2345,0
+65128037,1
+1234567890abc,0
825656627582,0
+9140150704,1
97505405502757,0
74808208436386,0
+386,0
+55425 922119,1
++1234567890,0
8344713847653,0
+290,0
,0
+8178692701,1
+text789012,0
+1024 820072,1
+55964906863,1
+65616680,1
+318500478,1
+346347906,1
+346353622,1
+331051390,1
75010178907654,0
+340898292,1
+1234567890abc,0
0508419924800,0
+4519,0
+,0
+7462-097633,1
+1069,0
+1264-116741,1
+,0
+628,0
+7510-696731,1
+1 234 567 8901 2345,0
+40296,0
+1234invalid,0
+4417268883,1
83202823108574,0
+9,0
+abcdefghij,0
+11503,0
+1025348494,1
+1802747886,1
+306373,0
+3940277330,1
+1234567890x123,0
+7979393148,1
+617622711,1
+4,0
+abcdefghij,0
+333775631,1
+333000032,1
+9298,0
+49545480351,1
+1234invalid,0
74806255967056,0
+1572613416,1
+8290183375,1
+95638,0
82924799565118,0
+312015443,1
+1234567abc,0
+1311058391,1
+1234567xyz,0
+9156170724,1
+86332046801,1
+611913565,1
+1234567xyz,0
+34925 8133,1
+8182023242,1
+33771-4357,1
+65332043,1
+319185782,1
2473470063699,0
+8293064280,1
654496854971,0
397889732151532,0
+3940804542,1
+86477958598,1
+55369-955667,1
+7580535765,1
+4488886364,1
+04593,0
1537230,0
9277915374620,0
+829431,0
+text789012,0
+65300186,1
+344501028,1
+3904049642,1
+7812255390,1
+79,0
6308213861,0
4903171560588,0
+8,0
+8252534966,1
+9,0
+3911009837,1
+1234567abc,0
+2455,0
+text789012,0
+49531366984,1
2516296692149,0
+1205336751,1
1-800-FLOWERS,0
+4460628144,1
+1820247508,1
+86364111377,1
7160062,0
+311053385,1
+69,0
+4496144151,1
+7277995051,1
+33479 3470,1
+8160090462,1
+abcdefghij,0
+86438680655,1
+8134163477,1
+29172,0
+phone123456,0
+57148,0
+7593563512,1
+39680-24309,1
+086,0
+8153387420,1
+4414040984,1
+04,0
63743251350,0
+3905044101,1
+10,0
+6,0
+7040-593907,1
+7409-011928,1
+615074322,1
+7427636527,1
+91956-70461,1
+34,0
+68,0
+86819567492,1
+call123456,0
+33037 6738,1
+57840,0
+65271-172,1
+409926,0
+8197004810,1
+9166885305,1
+1 234 567 8901 2345,0
123,0
+4424646234,1
+1234567abc,0
phone,0
+3965967598,1
++1234567890,0
+39539-15781,1
+1234567890x123,0
+phone123456,0
+text789012,0
+abcdefghij,0
+310952345,1
+4475314899,1
,0
+7770783102,1
45365502836,0
+619070810,1
+65676278,1
+312347220,1
+65029543,1
+613637108,1
+49646352364,1
+65134692,1
+call123456,0
+1802594118,1
,0
+1234567890abc,0
+1234567890 ext 123,0
+abcdefghij,0
+1272580043,1
+1238230647,1
+610162498,1
+313697050,1
+abcdefghij,0
+1234567890 ext 123,0
8630915,0
+8119811739,1
41434550810,0
11645804,0
+1234567890 ext 123,0
+81773-33608,1
+text789012,0
+900,0
959735202490,0
334667489738216,0
+86021902752,1
+86935444238,1
+336340650,1
+1234567890abc,0
+7398847379,1
+86479949607,1
3050082304884,0
+65494153,1
309220732615,0
1-800-FLOWERS,0
+86990587772,1
+65128613,1
+230931,0
+4449769217,1
+8121653987,1
+319146219,1
+86288877566,1
098337635653158,0
+4464211974,1
+332087820,1
+49410812864,1
+6362,0
5725105067966,0
6001164702,0
+318440330,1
+8193509592,1
+9,0
+7677604239,1
+49365545625,1
+7544649177,1
+9100409162,1
phone,0
+003791,0
+317441464,1
+4452533994,1
+8103116663,1
127712771641,0
+5,0
+333329114,1
+1691506043,1
+81980 11501,1
123-456-7890,0
+9102159562,1
+1243,0
+9182921265,1
+619477122,1
+1234invalid,0
+call123456,0
+313343346,1
+610887658,1
+4476184660,1
+1234567xyz,0
+86380821554,1
+86342391033,1
7441976527184,0
+4439688479,1
+4,0
965199902277302,0
+49029920047,1
+1234invalid,0
+65125462,1
+7472 069800,1
10801561376802,0
+1234invalid,0
8380516319585,0
phone,0
+1895002143,1
+030769,0
+1234567xyz,0
156739534678688,0
+4448788089,1
+7666480946,1
1-800-FLOWERS,0
+49921299988,1
863323266422,0
+,0
+1234invalid,0
+310904753,1
+73247,0
+613699564,1
+8285428959,1
+8249864174,1
202596099848,0
+3903468336,1
+55095845993,1
123-456-7890,0
+1234567890abc,0
+3941676024,1
82513150,0
,0
+7792451759,1
+1234567890abc,0
+217,0
+4432476222,1
+,0
+49868194589,1
4444730,0
+331105402,1
+4440850827,1
+31337-6590,1
+49948 098856,1
+8220280031,1
+035956,0
+1234567abc,0
+1234567xyz,0
++1234567890,0
+343125156,1
555.123.4567,0
1-800-FLOWERS,0
+614970418,1
+935604,0
+344189659,1
+55421 137121,1
+55195830428,1
+text789012,0
+349524052,1
630718467,0
4450828,0
+48764,0
+49028218961,1
88057517855,0
+1057807492,1
123-456-7890,0
+86369858202,1
+612241537,1
+1234567890x123,0
+55413356045,1
+8152645546,1
+8404,0
+1088886805,1
4322121,0
+4421389075,1
+phone123456,0
+312574879,1
+4454567371,1
+text789012,0
+49122446896,1
+8143165564,1
+06,0
+phone123456,0
+7418060092,1
+1234567abc,0
+8,0
+9137788750,1
+1234567xyz,0
+349564752,1
+11,0
,0
1355456,0
+3941917018,1
+65357947,1
+8226110401,1
+1234invalid,0
+99519,0
+call123456,0
+8209055326,1
+phone123456,0
+8225937047,1
+01,0
++1234567890,0
+86773797896,1
+1234567abc,0
+65881326,1
+7892122844,1
+33848 8855,1
+call123456,0
+332565808,1
123-456-7890,0
+49198469484,1
+text789012,0
+336952418,1
+55821623129,1
69000670278657,0
+3908048952,1
+55585-157555,1
+49330037377,1
+610580468,1
87521302,0
+1234567xyz,0
+9171242612,1
+498075,0
458835365317904,0
+1457859153,1
+ 1234567890,0
+343559976,1
+65297517,1
+615023775,1
+1234567890abc,0
+7053106304,1
(555) 123-4567,0
+1234invalid,0
2102409,0
+907,0
+919,0
555.123.4567,0
0381220920293,0
+49228117014,1
+1234567abc,0
+614405605,1
+1234567890x123,0
+8105658000,1
+7444850510,1
+905,0
123-456-7890,0
+55311 149253,1
+1234567890 ext 123,0
678574490464,0
+907,0
+31474-5634,1
+65681527,1
+1234567890x123,0
+313205422,1
+7130,0
75288035,0
+call123456,0
+312168109,1
+7126764794,1
89975869768,0
+text789012,0
+8,0
+621429,0
+701,0
+55484926976,1
+412,0
+9104781465,1
+1094,0
+91474 42244,1
+1 234 567 8901 2345,0
+1234567abc,0
+313215402,1
+1234567890 ext 123,0
+phone123456,0
+abcdefghij,0
+86270599893,1
+59,0
+49788247403,1
+1654344064,1
+ 1234567890,0
+phone123456,0
+55793471692,1
+55089195102,1
+44986 50422,1
+65251867,1
123-456-7890,0
+33700,0
123-456-7890,0
4083329133,0
123,0
+1234567890 ext 123,0
+1761 325084,1
384332807,0
+text789012,0
+4442957347,1
+8055,0
+4485105533,1
+1188586024,1
+call123456,0
+89,0
+1066515683,1
+text789012,0
+55955973679,1
+1234567890abc,0
+332752188,1
+1234567abc,0
+332883630,1
+334212764,1
+49635532500,1
++1234567890,0
+338399563,1
+82658 62406,1
+343603578,1
+49850903503,1
+8271155277,1
+4404114986,1
+332701946,1
+4412735861,1
+3998671184,1
+65459039,1
+902,0
+65463748,1
17018301571816,0
+8143067042,1
+86412760837,1
+55800766027,1
+9187297229,1
+,0
+8673,0
+86903-243913,1
+4479682074,1
+8246086229,1
+4450958774,1
