text,label
72,valid
85,valid
95,valid
110,valid
125,valid
98,valid
104,valid
88,valid
92,valid
118,valid
135,valid
89,valid
97,valid
115,valid
102,valid
94,valid
108,valid
126,valid
99,valid
87,valid
112,valid
91,valid
105,valid
120,valid
96,valid
100,valid
114,valid
128,valid
93,valid
107,valid
122,valid
86,valid
101,valid
116,valid
130,valid
90,valid
103,valid
119,valid
132,valid
84,valid
109,valid
123,valid
138,valid
106,valid
113,valid
127,valid
121,valid
117,valid
111,valid
134,valid
30,invalid
45,invalid
22,invalid
15,invalid
250,invalid
300,invalid
350,invalid
450,invalid
500,invalid
12,invalid
8,invalid
5,invalid
600,invalid
700,invalid
50,invalid
25,invalid
400,invalid
550,invalid
-10,invalid
-50,invalid
0,invalid
1,invalid
65,invalid
180,invalid
175,invalid
195,invalid
210,invalid
225,invalid
240,invalid
260,invalid
290,invalid
310,invalid
340,invalid
370,invalid
420,invalid
480,invalid
520,invalid
580,invalid
62,invalid
58,invalid
55,invalid
48,invalid
42,invalid
38,invalid
35,invalid
28,invalid
20,invalid
18,invalid
150,invalid
160,invalid
170,invalid
185,invalid
200,invalid
