text,label
Microsoft Corporation,valid
Apple Inc.,valid
Amazon.com Inc.,valid
Google LLC,valid
Meta Platforms Inc.,valid
Tesla Inc.,valid
NVIDIA Corporation,valid
JPMorgan Chase & Co.,valid
Johnson & Johnson,valid
Walmart Inc.,valid
Procter & Gamble Co.,valid
Visa Inc.,valid
Home Depot Inc.,valid
Mastercard Inc.,valid
Bank of America Corp.,valid
Chevron Corporation,valid
AbbVie Inc.,valid
Costco Wholesale Corp.,valid
Merck & Co. Inc.,valid
PepsiCo Inc.,valid
Coca-Cola Company,valid
Cisco Systems Inc.,valid
Adobe Inc.,valid
Netflix Inc.,valid
Intel Corporation,valid
Comcast Corporation,valid
AT&T Inc.,valid
Verizon Communications Inc.,valid
Oracle Corporation,valid
Salesforce Inc.,valid
Pfizer Inc.,valid
Walt Disney Company,valid
McDonald's Corporation,valid
Nike Inc.,valid
Boeing Company,valid
IBM Corporation,valid
General Electric Co.,valid
Goldman Sachs Group Inc.,valid
American Express Co.,valid
Starbucks Corporation,valid
3M Company,valid
Caterpillar Inc.,valid
Lockheed Martin Corp.,valid
Morgan Stanley,valid
Bristol-Myers Squibb Co.,valid
Target Corporation,valid
Lowe's Companies Inc.,valid
General Motors Company,valid
Ford Motor Company,valid
Delta Air Lines Inc.,valid
microsoft,invalid
APPLE,invalid
amazon,invalid
google,invalid
meta,invalid
tesla,invalid
nvidia,invalid
jpmorgan,invalid
johnson and johnson,invalid
walmart,invalid
P&G,invalid
visa,invalid
home depot,invalid
mastercard,invalid
BoA,invalid
chevron,invalid
abbvie,invalid
costco,invalid
merck,invalid
pepsi,invalid
coke,invalid
cisco,invalid
adobe,invalid
netflix,invalid
intel,invalid
comcast,invalid
at&t,invalid
verizon,invalid
oracle,invalid
salesforce,invalid
pfizer,invalid
disney,invalid
mcdonalds,invalid
nike,invalid
boeing,invalid
ibm,invalid
GE,invalid
goldman,invalid
amex,invalid
starbucks,invalid
3m,invalid
caterpillar,invalid
lockheed,invalid
MS,invalid
BMS,invalid
target,invalid
lowes,invalid
GM,invalid
ford,invalid
delta,invalid
