text,label
Apple,valid
Apple,valid
Apple,valid
Apple,valid
Apple,valid
Apple,valid
Microsoft,valid
Microsoft,valid
Microsoft,valid
Microsoft,valid
Microsoft,valid
Google,valid
Amazon,valid
Netflix,valid
Tesla,valid
Coca-Cola,valid
Samsung,valid
Toyota,valid
Intel,valid
IBM,valid
Sony,valid
Adobe,valid
Oracle,valid
Facebook,valid
NVIDIA,valid
Pepsi,valid
LG,valid
Nike,valid
HP,valid
Dell,valid
Lenovo,valid
Uber,valid
Airbnb,valid
SpaceX,valid
Salesforce,valid
Zoom,valid
eBay,valid
PayPal,valid
Qualcomm,valid
Spotify,valid
Starbucks,valid
Red Bull,valid
Nestle,valid
Visa,valid
Mastercard,valid
Shell,valid
BP,valid
ExxonMobil,valid
Chevron,valid
3M,valid
Pfizer,valid
Johnson & Johnson,valid
Novartis,valid
Roche,valid
Unilever,valid
Siemens,valid
Philips,valid
Panasonic,valid
Huawei,valid
Xiaomi,valid
Tesra,invalid
Appel,invalid
Microsfot,invalid
Gogle,invalid
Netfliks,invalid
Amazoon,invalid
CocaCola Incs,invalid
Samsang,invalid
Toyoda,invalid
Intell,invalid
IBN,invalid
Soni,invalid
Adobi,invalid
Orakle,invalid
Facebok,invalid
NVIDA,invalid
Peppsi,invalid
LJ,invalid
Nyke,invalid
HPe,invalid
Del,invalid
Lenova,invalid
Ubr,invalid
Airbn,invalid
SpaseX,invalid
Saleforce,invalid
Zom,invalid
eBey,invalid
PayPall,invalid
Qualcom,invalid
Spotfy,invalid
Starbuks,invalid
Read Bull,invalid
Neslte,invalid
Viza,invalid
Mastercad,invalid
Sheel,invalid
BPP,invalid
ExonMobil,invalid
Chevorn,invalid
3MM,invalid
Pzfier,invalid
Johnsons & Johnson,invalid
Novartiss,invalid
Rochee,invalid
Unileaver,invalid
Semens,invalid
Philipps,invalid
Panasonik,invalid
Huawey,invalid
Xiaome,invalid
