text,label
18,valid
21,valid
25,valid
30,valid
35,valid
40,valid
45,valid
50,valid
55,valid
60,valid
65,valid
70,valid
75,valid
80,valid
85,valid
22,valid
27,valid
32,valid
37,valid
42,valid
47,valid
52,valid
57,valid
62,valid
67,valid
72,valid
77,valid
82,valid
19,valid
23,valid
28,valid
33,valid
38,valid
43,valid
48,valid
53,valid
58,valid
63,valid
68,valid
73,valid
78,valid
20,valid
24,valid
29,valid
34,valid
39,valid
44,valid
49,valid
54,valid
59,valid
-5,invalid
-10,invalid
-20,invalid
0,invalid
150,invalid
200,invalid
250,invalid
300,invalid
500,invalid
1,invalid
2,invalid
3,invalid
5,invalid
8,invalid
10,invalid
12,invalid
15,invalid
17,invalid
125,invalid
130,invalid
140,invalid
160,invalid
180,invalid
220,invalid
350,invalid
400,invalid
999,invalid
1000,invalid
95,invalid
100,invalid
105,invalid
110,invalid
115,invalid
120,invalid
135,invalid
145,invalid
155,invalid
165,invalid
175,invalid
185,invalid
195,invalid
210,invalid
240,invalid
280,invalid
320,invalid
360,invalid
450,invalid
550,invalid
